State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Andhra Pradesh,NIZAMABAD,Cotton(lint),2002-03,Kharif,8746,Hectare,11113,Bales,1.270638006
Andhra Pradesh,NIZAMABAD,Cotton(lint),2003-04,Kharif,8588,Hectare,6416,Bales,0.747088961
Andhra Pradesh,PRAKASAM,Cotton(lint),2001-02,Kharif,37624,Hectare,62633,Bales,1.664708697
Andhra Pradesh,PRAKASAM,Cotton(lint),2002-03,Kharif,24364,Hectare,28377,Bales,1.164710228
Andhra Pradesh,PRAKASAM,Cotton(lint),2003-04,Kharif,35815,Hectare,60675,Bales,1.694122574
Andhra Pradesh,RANGAREDDI,Cotton(lint),2001-02,Kharif,19452,Hectare,30093,Bales,1.547038865
Andhra Pradesh,RANGAREDDI,Cotton(lint),2002-03,Kharif,14141,Hectare,22459,Bales,1.588218655
Andhra Pradesh,RANGAREDDI,Cotton(lint),2003-04,Kharif,15368,Hectare,36070,Bales,2.347084852
Andhra Pradesh,SPSR NELLORE,Cotton(lint),2001-02,Kharif,6553,Hectare,17115,Bales,2.611780864
Andhra Pradesh,SPSR NELLORE,Cotton(lint),2002-03,Kharif,5798,Hectare,10300,Bales,1.776474646
Andhra Pradesh,SPSR NELLORE,Cotton(lint),2003-04,Kharif,9993,Hectare,29744,Bales,2.976483538
Andhra Pradesh,SRIKAKULAM,Cotton(lint),2001-02,Kharif,1724,Hectare,4503,Bales,2.611948956
Andhra Pradesh,SRIKAKULAM,Cotton(lint),2002-03,Kharif,1522,Hectare,2704,Bales,1.776609724
Andhra Pradesh,SRIKAKULAM,Cotton(lint),2003-04,Kharif,1711,Hectare,5093,Bales,2.976621859
Andhra Pradesh,VISAKHAPATANAM,Cotton(lint),2001-02,Kharif,1021,Hectare,2667,Bales,2.612144956
Andhra Pradesh,VISAKHAPATANAM,Cotton(lint),2002-03,Kharif,859,Hectare,1526,Bales,1.776484284
Andhra Pradesh,VISAKHAPATANAM,Cotton(lint),2003-04,Kharif,1359,Hectare,4045,Bales,2.976453274
Andhra Pradesh,VIZIANAGARAM,Cotton(lint),2001-02,Kharif,15639,Hectare,40845,Bales,2.611739881
Andhra Pradesh,VIZIANAGARAM,Cotton(lint),2002-03,Kharif,12397,Hectare,22023,Bales,1.77647818
Andhra Pradesh,VIZIANAGARAM,Cotton(lint),2003-04,Kharif,19471,Hectare,26801,Bales,1.376457295
Andhra Pradesh,WARANGAL,Cotton(lint),2001-02,Kharif,182478,Hectare,314506,Bales,1.723528316
Andhra Pradesh,WARANGAL,Cotton(lint),2002-03,Kharif,119478,Hectare,169378,Bales,1.417650111
Andhra Pradesh,WARANGAL,Cotton(lint),2003-04,Kharif,123549,Hectare,279075,Bales,2.258820387
Andhra Pradesh,WEST GODAVARI,Cotton(lint),2001-02,Kharif,3269,Hectare,8538,Bales,2.611807892
Andhra Pradesh,WEST GODAVARI,Cotton(lint),2002-03,Kharif,940,Hectare,1670,Bales,1.776595745
Andhra Pradesh,WEST GODAVARI,Cotton(lint),2003-04,Kharif,3759,Hectare,11189,Bales,2.976589518
Andhra Pradesh,ADILABAD,Dry chillies,2001-02,Kharif,5927,Hectare,3497,Tonnes,0.59001181
Andhra Pradesh,ADILABAD,Dry chillies,2001-02,Rabi,601,Hectare,1656,Tonnes,2.755407654
Andhra Pradesh,ADILABAD,Dry chillies,2002-03,Kharif,9062,Hectare,5836,Tonnes,0.644007945
Andhra Pradesh,ADILABAD,Dry chillies,2002-03,Rabi,289,Hectare,718,Tonnes,2.484429066
Andhra Pradesh,ADILABAD,Dry chillies,2003-04,Kharif,10103,Hectare,12760,Tonnes,1.262991191
Andhra Pradesh,ADILABAD,Dry chillies,2003-04,Rabi,310,Hectare,1012,Tonnes,3.264516129
Andhra Pradesh,ANANTAPUR,Dry chillies,2001-02,Kharif,3765,Hectare,7127,Tonnes,1.892961487
Andhra Pradesh,ANANTAPUR,Dry chillies,2001-02,Rabi,108,Hectare,168,Tonnes,1.555555556
Andhra Pradesh,ANANTAPUR,Dry chillies,2002-03,Kharif,2737,Hectare,6128,Tonnes,2.238947753
Andhra Pradesh,ANANTAPUR,Dry chillies,2002-03,Rabi,83,Hectare,161,Tonnes,1.939759036
Andhra Pradesh,ANANTAPUR,Dry chillies,2003-04,Kharif,2920,Hectare,10702,Tonnes,3.665068493
Andhra Pradesh,ANANTAPUR,Dry chillies,2003-04,Rabi,91,Hectare,190,Tonnes,2.087912088
Andhra Pradesh,CHITTOOR,Dry chillies,2001-02,Kharif,443,Hectare,641,Tonnes,1.446952596
Andhra Pradesh,CHITTOOR,Dry chillies,2001-02,Rabi,2958,Hectare,4609,Tonnes,1.558147397
Andhra Pradesh,CHITTOOR,Dry chillies,2002-03,Kharif,519,Hectare,791,Tonnes,1.524084778
Andhra Pradesh,CHITTOOR,Dry chillies,2002-03,Rabi,2199,Hectare,4253,Tonnes,1.934060937
Andhra Pradesh,CHITTOOR,Dry chillies,2003-04,Kharif,412,Hectare,1014,Tonnes,2.461165049
Andhra Pradesh,CHITTOOR,Dry chillies,2003-04,Rabi,2792,Hectare,5832,Tonnes,2.088825215
Andhra Pradesh,EAST GODAVARI,Dry chillies,2001-02,Kharif,628,Hectare,2274,Tonnes,3.621019108
Andhra Pradesh,EAST GODAVARI,Dry chillies,2001-02,Rabi,936,Hectare,1882,Tonnes,2.010683761
Andhra Pradesh,EAST GODAVARI,Dry chillies,2002-03,Kharif,512,Hectare,1011,Tonnes,1.974609375
Andhra Pradesh,EAST GODAVARI,Dry chillies,2002-03,Rabi,597,Hectare,993,Tonnes,1.663316583
Andhra Pradesh,EAST GODAVARI,Dry chillies,2003-04,Kharif,1070,Hectare,4714,Tonnes,4.405607477
Andhra Pradesh,EAST GODAVARI,Dry chillies,2003-04,Rabi,1029,Hectare,2172,Tonnes,2.110787172
Andhra Pradesh,GUNTUR,Dry chillies,2001-02,Kharif,51052,Hectare,203953,Tonnes,3.995005093
Andhra Pradesh,GUNTUR,Dry chillies,2001-02,Rabi,515,Hectare,1036,Tonnes,2.011650485
Andhra Pradesh,GUNTUR,Dry chillies,2002-03,Kharif,58658,Hectare,118606,Tonnes,2.021991885
Andhra Pradesh,GUNTUR,Dry chillies,2002-03,Rabi,658,Hectare,1094,Tonnes,1.662613982
Andhra Pradesh,GUNTUR,Dry chillies,2003-04,Kharif,67122,Hectare,338429,Tonnes,5.041998153
Andhra Pradesh,GUNTUR,Dry chillies,2003-04,Rabi,172,Hectare,363,Tonnes,2.110465116
Andhra Pradesh,KADAPA,Dry chillies,2001-02,Kharif,5056,Hectare,7316,Tonnes,1.446993671
Andhra Pradesh,KADAPA,Dry chillies,2001-02,Rabi,409,Hectare,637,Tonnes,1.557457213
